1,300,100,1,10.60,420,200
2,301,101,1,17.11,419,201
3,302,102,0,13.25,418,202
4,303,103,1,13.55,417,203
5,304,104,0,29.38,416,204
6,305,105,1,28.81,415,205
7,306,106,1,32.85,414,206
8,307,107,0,47.41,413,207
9,308,108,0,42.10,412,208
10,309,109,1,15.33,411,209
11,310,110,1,21.33,410,210
12,311,111,1,19.04,409,211
13,312,112,1,18.69,408,212
14,313,113,0,37.53,407,213
15,314,114,1,29.14,406,214
16,315,115,0,14.33,405,215
17,316,116,1,20.48,404,216
18,317,117,1,38.81,403,217
19,318,118,0,4.33,402,218
20,319,119,0,6.61,401,219
21,320,120,0,12.38,400,220
22,321,121,1,7.32,399,221
23,322,122,0,49.57,398,222
24,323,123,1,43.47,397,223
25,324,124,1,30.40,396,224
26,325,125,0,26.28,395,225
27,326,126,0,14.16,394,226
28,327,127,0,36.07,393,227
29,328,128,0,28.87,392,228
30,329,129,0,20.16,391,229
31,330,130,0,35.20,390,230
32,331,131,1,31.24,389,231
33,332,132,1,29.74,388,232
34,333,133,0,22.39,387,233
35,334,134,1,48.98,386,234
36,335,135,1,44.72,385,235
37,336,136,1,6.43,384,236
38,337,137,1,41.38,383,237
39,338,138,0,21.89,382,238
40,339,139,0,28.87,381,239
41,340,140,1,37.50,380,240
42,341,141,0,33.00,379,241
43,342,142,0,28.29,378,242
44,343,143,1,1.41,377,243
45,344,144,0,3.80,376,244
46,345,145,1,12.35,375,245
47,346,146,0,34.39,374,246
48,347,147,1,42.79,373,247
49,348,148,1,23.32,372,248
50,349,149,1,41.72,371,249
51,350,150,0,36.65,370,250
52,351,151,1,37.26,369,251
53,352,152,0,38.37,368,252
54,353,153,0,23.12,367,253
55,354,154,1,26.69,366,254
56,355,155,1,10.77,365,255
57,356,156,0,0.14,364,256
58,357,157,1,4.76,363,257
59,358,158,0,17.23,362,258
60,359,159,0,47.41,361,259
61,360,160,0,16.05,360,260
62,361,161,1,15.84,359,261
63,362,162,1,12.06,358,262
64,363,163,0,28.78,357,263
65,364,164,1,7.81,356,264
66,365,165,0,16.00,355,265
67,366,166,0,4.46,354,266
68,367,167,0,18.53,353,267
69,368,168,1,5.22,352,268
70,369,169,0,0.00,351,269
71,370,170,0,33.89,350,270
72,371,171,0,34.17,349,271
73,372,172,1,35.34,348,272
74,373,173,1,1.42,347,273
75,374,174,0,25.78,346,274
76,375,175,1,21.64,345,275
77,376,176,1,34.43,344,276
78,377,177,1,49.46,343,277
79,378,178,0,18.21,342,278
80,379,179,0,22.74,341,279
81,380,180,0,27.04,340,280
82,381,181,1,36.63,339,281
83,382,182,0,42.13,338,282
84,383,183,0,41.30,337,283
85,384,184,1,6.03,336,284
86,385,185,1,18.13,335,285
87,386,186,1,33.69,334,286
88,387,187,0,13.89,333,287
89,388,188,0,5.46,332,288
90,389,189,0,39.26,331,289
91,390,190,1,30.59,330,290
92,391,191,0,7.81,329,291
93,392,192,0,42.72,328,292
94,393,193,1,43.39,327,293
95,394,194,0,37.20,326,294
96,395,195,1,14.10,325,295
97,396,196,0,16.55,324,296
98,397,197,0,39.95,323,297
99,398,198,0,19.79,322,298
100,399,199,1,5.27,321,299
101,100,300,0,27.88,320,300
102,101,301,0,30.25,319,301
103,102,302,1,5.87,318,302
104,103,303,0,46.42,317,303
105,104,304,0,3.53,316,304
106,105,305,1,41.27,315,305
107,106,306,0,41.44,314,306
108,107,307,1,21.87,313,307
