1,1,18,2,5,200
2,4,36,61,4,201
3,1,37,62,5,202
4,1,13,66,4,203
5,3,14,38,3,204
6,2,19,32,5,205
7,1,21,22,1,206
8,2,44,38,4,207
9,4,19,48,5,208
10,4,3,13,4,209
11,4,28,15,3,210
12,4,38,68,5,211
13,3,17,10,4,212
14,4,49,46,4,213
15,4,36,38,3,214
16,2,37,50,4,215
17,4,32,49,5,216
18,3,43,60,3,217
19,2,7,46,3,218
20,4,13,43,3,219
21,5,12,41,5,220
22,3,25,54,3,221
23,5,9,64,3,222
24,1,40,22,3,223
25,1,17,12,2,224
26,2,24,24,2,225
27,2,16,34,3,226
28,1,37,16,3,227
29,5,5,5,2,228
30,3,30,68,4,229
31,2,28,52,3,230
32,1,18,62,1,231
33,1,42,55,5,232
34,2,11,26,1,233
35,2,47,12,3,234
36,5,39,53,2,235
37,5,41,42,1,236
38,2,46,15,1,237
39,4,45,33,4,238
40,3,36,13,1,239
41,5,48,26,3,240
42,4,45,1,1,241
43,3,6,66,5,242
44,5,29,68,3,243
45,5,13,70,4,244
46,3,7,16,3,245
47,1,32,32,4,246
48,4,22,54,1,247
49,5,19,61,4,248
50,4,20,23,5,249
51,2,5,45,2,250
52,4,40,1,1,251
53,1,16,6,4,252
54,2,11,9,4,253
55,3,38,49,5,254
56,2,15,28,5,255
57,3,30,55,2,256
58,4,49,42,5,257
59,1,37,50,4,258
60,5,25,38,2,259
61,5,7,52,5,260
62,2,3,7,5,261
63,1,26,64,5,262
64,4,49,67,5,263
65,2,9,48,4,264
66,5,14,63,5,265
67,1,35,45,5,266
68,2,28,7,2,267
69,2,45,52,3,268
70,4,20,59,3,269
71,2,49,55,5,270
72,3,14,14,1,271
73,4,31,48,2,272
74,2,48,27,5,273
75,5,13,41,5,274
76,5,12,39,2,275
77,1,31,59,2,276
78,4,15,49,3,277
79,4,33,44,2,278
80,2,15,55,1,279
81,1,18,20,1,280
82,2,7,4,4,281
83,4,49,23,4,282
84,4,24,42,4,283
85,2,39,35,5,284
86,4,27,66,4,285
87,4,31,38,4,286
88,3,27,24,1,287
89,3,19,41,5,288
90,4,2,47,5,289
91,4,26,8,3,290
92,5,22,13,2,291
93,4,2,59,4,292
94,4,6,45,3,293
95,2,18,33,3,294
96,4,50,35,1,295
97,4,48,18,5,296
98,4,20,15,2,297
99,5,42,52,2,298
100,2,50,30,5,299
101,2,44,46,5,300
102,1,19,13,2,301
103,4,15,10,4,302
104,3,38,59,3,303
105,4,14,4,4,304
106,3,16,22,4,305
107,5,6,50,4,306
108,1,26,34,2,307
109,5,11,19,4,308
110,2,24,28,3,309
111,3,9,41,5,310
112,4,2,15,3,311
113,4,5,67,3,312
114,4,35,45,3,313
115,2,50,58,5,314
116,4,40,60,5,315
117,2,38,14,3,316
118,5,10,59,4,317
119,4,31,18,2,318
120,3,37,68,1,319
121,2,18,33,5,320
122,1,23,45,4,321
123,5,24,3,4,322
124,1,30,28,3,323
125,2,1,11,2,324
