1,5,1
2,5,7
3,1,10
4,4,4
5,2,1
6,1,8
7,4,4
8,3,5
9,2,4
10,2,1
11,3,3
12,3,8
13,2,6
14,1,1
15,2,9
16,2,5
17,4,2
18,2,3
19,3,8
20,2,10
21,2,1
22,3,7
23,3,10
24,4,10
25,5,9
26,4,9
27,2,4
28,3,9
29,4,3
30,2,6
31,2,3
32,3,9
33,2,2
34,3,7
35,4,1
36,3,7
37,4,2
38,4,2
39,4,1
40,3,8
41,1,4
42,4,8
43,1,1
44,1,1
45,3,8
46,2,6
47,4,3
48,5,9
49,3,4
50,2,8
51,5,8
52,4,7
53,1,5
54,3,3
55,1,4
56,5,4
57,5,2
58,5,6
59,3,6
60,2,7
61,2,8
62,4,10
63,1,4
64,1,5
65,1,10
66,3,8
67,4,9
68,3,7
69,4,10
70,4,7
71,5,6
72,2,5
73,3,10
74,2,7
75,3,5
76,1,10
77,5,10
78,2,9
79,2,4
80,2,2
81,1,7
82,4,3
83,4,4
84,5,10
85,3,5
86,4,1
87,4,7
88,5,2
89,3,7
90,2,5
91,4,3
92,1,8
93,4,4
94,3,9
95,4,5
96,1,9
97,1,9
98,5,1
99,3,6
100,2,10
101,1,4
102,2,8
103,2,2
104,5,6
105,5,3
106,2,3
107,4,7
108,1,7
109,4,8
110,3,5
111,1,5
112,2,2
113,4,3
114,5,5
115,4,4
116,3,4
117,4,10
118,2,4
119,4,3
120,3,1
121,1,9
122,4,7
123,1,4
124,3,7
125,5,9
126,2,5
127,4,4
128,5,9
129,3,6
130,4,6
131,2,3
132,1,5
133,2,3
134,2,6
135,3,9
136,2,2
137,3,1
138,2,5
139,5,1
140,5,10
141,2,3
142,4,10
143,5,5
144,3,7
145,1,9
146,3,1
147,4,5
148,5,4
149,2,4
150,3,2
151,2,9
152,2,8
153,3,8
154,2,2
155,2,2
156,2,2
157,1,3
158,5,8
159,1,2
160,4,8
161,2,6
162,3,9
163,4,7
164,1,8
165,1,1
166,1,7
167,3,7
168,4,5
169,3,10
170,1,4
171,4,3
172,3,6
173,4,7
174,2,5
175,1,8
176,2,8
177,5,6
178,1,7
179,4,9
180,2,9
181,2,5
182,1,7
183,5,4
184,2,4
185,4,4
186,4,3
187,4,7
188,1,9
189,1,8
190,2,10
191,2,8
192,5,4
193,1,3
194,4,8
195,2,10
196,2,6
197,1,9
198,1,2
199,1,3
200,4,4
201,2,5
202,3,8
203,3,6
204,1,10
205,2,10
206,2,7
207,5,5
208,5,9
209,2,10
210,3,5
211,4,2
212,5,8
213,3,5
214,1,9
215,1,7
216,1,6
217,2,5
218,4,8
219,5,8
220,1,10
221,1,9
222,3,1
223,4,1
224,3,6
225,3,9
226,2,6
227,4,5
228,4,8
229,2,10
230,2,4
231,1,1
232,3,10
233,5,3
234,1,7
235,5,5
236,1,8
237,2,10
238,3,7
239,2,3
240,3,4
241,3,1
242,1,7
243,2,2
244,4,9
245,1,1
246,1,7
247,2,1
248,1,3
249,3,1
250,3,5
251,3,5
252,5,10
253,5,7
254,1,2
255,1,8
256,4,10
257,2,7
258,1,3
259,2,1
260,3,9
261,5,9
262,1,1
263,5,10
264,5,2
265,4,5
266,3,1
267,1,8
268,2,3
269,5,2
270,2,7
271,4,7
272,3,5
273,5,9
274,3,8
275,5,4
276,5,2
277,5,2
278,5,2
279,4,9
280,3,8
281,2,6
282,5,1
283,1,3
284,5,10
285,4,9
286,3,4
287,2,10
288,1,3
289,5,3
290,2,5
291,4,2
292,1,5
293,4,9
294,5,5
295,1,9
296,4,5
297,3,4
298,4,8
299,1,8
300,4,3
301,1,10
302,3,4
303,2,3
304,3,6
305,2,4
306,4,3
307,1,6
308,2,4
309,2,4
310,1,4
311,3,8
312,4,1
313,2,2
314,1,1
315,5,8
316,3,10
317,2,3
318,5,7
319,4,2
320,5,1
321,1,6
322,2,2
323,1,6
324,3,5
325,2,5
326,5,3
327,1,9
328,1,9
329,1,8
330,1,8
331,4,9
332,1,6
333,1,2
334,2,2
335,1,4
336,4,6
337,2,5
338,5,10
339,5,10
340,2,3
341,3,4
342,5,2
343,1,1
344,1,4
345,3,4
346,1,1
347,5,3
348,5,8
349,5,2
350,3,10
351,1,6
352,3,9
353,2,9
354,1,6
355,2,6
356,3,9
357,1,4
358,5,8
359,4,8
360,3,7
361,5,3
362,2,5
363,3,5
364,2,4
365,1,8
366,3,8
367,3,7
368,3,4
369,5,7
370,2,5
371,4,9
372,5,10
373,3,4
374,5,7
375,5,1
376,5,7
377,1,5
378,4,4
379,2,1
380,3,8
381,3,4
382,1,5
383,5,4
384,5,9
385,3,3
386,1,4
387,2,5
388,2,6
389,1,3
390,1,6
391,3,2
392,4,10
393,3,5
394,3,4
395,1,10
396,2,4
397,4,10
398,3,1
399,4,9
400,2,8
401,3,3
402,1,7
403,4,1
404,3,6
405,4,2
406,2,3
407,4,1
408,1,9
409,1,3
410,5,6
411,2,5
412,3,2
413,2,7
414,4,7
415,2,10
416,3,2
417,3,2
418,2,6
419,2,6
420,1,5
